matab,mantap
tdk,tidak
muantap,mantap
gk,tidak
bs ,bisa
slalu,selalu
nyesel,nyesal
chenel,channel
isok,bisa
cuman,Cuma
klo,kalau
gak,tidak
y,ya
bru,baru
mai,mau
nggak,tidak
lgi,lagi
da,ada
bangat,banget
mntap,mantap
kenap,kenapa
bgus,bagus
sdh,sudah
knpa,kenapa
mantab,mantap
sma,sama
skr,sekarang
sj,saja
gw,saya
imail,email
apliaksi,aplikasi
erorrr,error
eror,error
massa,masa
knapa,kenapa
engga,tidak
cenel,channel
n,dan
ny,nya
aj,saja
instal,install
gw,saya
spt,seperti
vidio,video
yg,yang
bet,banget
gak,tidak
bgt,banget
karna,karena
nda,tidak
donlod,unduh
tabuka,dibuka
mnggu,mengganggu
apk,aplikasi
chanel,channel
bbrp,beberapa
koq,kok
minud,minus
rrsmi,resmi
plis,mohon
ckp,cukup
sy,saya
y,ya
ampe,sampai
gak,tidak
aplik,aplikasi
kluar,keluar
srndiri,sendiri
nelek,jelek
nu,nya
pdhl,padahal
krn,karena
nnt,nanti
apl,aplikasi
bsa,bisa
ga,tidak
knp,kenapa
antri,antre
ngisi,mengisi
dapt,dapat
senter,center
gabisa,tidak
bagan,bagian
kerj,kerja
trlalu,terlalu
pas,ketika
trs,terus
gini,begini
sntk,stnk
laha,lama
aplikasy,aplikasi
memdaftar,mendaftar
skrng,sekarang
adasihh,ada
gujek,gojek
pake,pakai
ilang,hilang
gaperlu,tidak
uda,sudah
ttp,tetap
kendaraa,kendaraan
yg,yang
memamang,memang
kyknya,kayaknya
paaaarrraaaahhhhh,parah
buruuuukkk,buruk
gajelas,tidak
sdah,sudah
laanannya,layanan
klk,klik
doang,saja
thn,tahun
mmg,memang
